epoch,total_loss,final_l1,final_ssim,final_boundary,final_intensity,final_intensity_stats,coarse_l1,coarse_ssim,alpha,beta,gamma,learning_rate,epoch_seconds
1,0.15127116488292813,0.023541992094117004,0.763166791659135,0.008823754700223127,0.03391787487870226,0.048851649657500766,0.024161184191381416,0.7481383186120253,0.20049695670604706,0.10303816944360733,0.2026628702878952,0.00019981253920068581,274.95615816116333
2,0.1265551006493087,0.02063849644574265,0.7990101845218585,0.008758278087211344,0.028257718321401625,0.024596967320674314,0.0204180759171812,0.7964805503877309,0.20035958290100098,0.10348786413669586,0.20252498984336853,0.0001992508966248754,231.73788785934448
3,0.12388503997801588,0.020274993499669318,0.8030308769299433,0.008745099458610638,0.027712423499458683,0.023556529293105435,0.020004981745464296,0.8018302934674116,0.20006254315376282,0.10367606580257416,0.2022630274295807,0.00019831728881922545,233.1306276321411
4,0.12312184309300322,0.020156863946109438,0.8039476314416298,0.008734487554130073,0.027365893362842213,0.021436353257069222,0.019858406560244755,0.8030799583746837,0.19959920644760132,0.10387875884771347,0.20205023884773254,0.00019701540030721995,247.26941514015198
5,0.12295207952220853,0.02006916832626582,0.8045679240845717,0.008754078188212588,0.027539483356611945,0.024901360418432605,0.01982097207980517,0.8038040654590497,0.199417382478714,0.1040157824754715,0.20181871950626373,0.00019535036904803958,244.25002455711365
6,0.12159993671453916,0.019871469202021565,0.8063895923013871,0.008714381380167861,0.02698268054339748,0.022008089414493254,0.01959965049575728,0.8057398745646843,0.19917410612106323,0.10414835065603256,0.20166660845279694,0.00019332876615938386,248.87366318702698
7,0.12153875735373451,0.01990920372772962,0.8064697434695868,0.008727595271865049,0.02705076612585869,0.021432237535750923,0.01964038144886637,0.8059441483937777,0.1989814192056656,0.1043098047375679,0.2013501226902008,0.00019095856998427185,227.17060708999634
8,0.1207150099799037,0.019771999281007223,0.8075006140539279,0.008686494316834097,0.026653967114487805,0.019226281615108465,0.01951133974093514,0.8070989996767961,0.19878827035427094,0.10444857180118561,0.20110200345516205,0.000188249134604167,261.00111961364746
9,0.12078370868873138,0.019782190922146232,0.8075223172513338,0.008684997490714663,0.026751273452268482,0.02039109233905597,0.01954190464457497,0.8071342362807348,0.19856339693069458,0.10462414473295212,0.20068643987178802,0.00018521115292269142,219.5763020515442
10,0.12033202767085571,0.019761774585080834,0.8082483781644931,0.008697621615675206,0.026754410958920533,0.01976778750473526,0.019495946335462998,0.8079293168508089,0.19834338128566742,0.10467606782913208,0.20060765743255615,0.00018185661446562,222.76454663276672
11,0.12046863158018543,0.019789522177038284,0.8080382368312432,0.008704683500288342,0.02676893164529107,0.019844678888777986,0.019548963091801853,0.8077087287146312,0.19817335903644562,0.10480314493179321,0.20048882067203522,0.00017819875806369996,229.33133363723755
12,0.12037447754007119,0.019733494760182043,0.8083009059039447,0.008696969799572029,0.02683536801755858,0.021047292595791918,0.019465050818577696,0.8079800185675804,0.1981196105480194,0.10495287925004959,0.20049849152565002,0.00017425201960503408,257.10066270828247
13,0.11971349914629872,0.019652976929389228,0.8091641001403331,0.00868245598842175,0.026603927513441213,0.01909689353846121,0.019365483039739326,0.8089092629460188,0.19785083830356598,0.10505882650613785,0.1999950408935547,0.0001700319750632254,231.4192988872528
14,0.11995413071261002,0.0197594293867811,0.8088741296185897,0.0087064418135784,0.02672704920405522,0.01942512032669933,0.019509066931473522,0.8086138320083801,0.19774176180362701,0.10509349405765533,0.1999814808368683,0.0001655552790261255,231.0211546421051
15,0.11936938940332487,0.01958072144054593,0.80959978430317,0.00866648198526281,0.026377245547393194,0.01843994400338628,0.019325668879677182,0.8093659587204456,0.19764773547649384,0.10516499727964401,0.19980600476264954,0.00016083959896778495,260.7142770290375
16,0.1192805633521997,0.01956264996417583,0.809839586684337,0.008672628339935238,0.026475318755882864,0.019181790841349328,0.01928818957307018,0.8096500420799622,0.19759917259216309,0.10522756725549698,0.19968362152576447,0.00015590354552300466,265.5827283859253
17,0.11903232146914189,0.019505856583754602,0.8101618201686785,0.008649795907191359,0.02632376493778653,0.018748382083140315,0.019244549358980012,0.8099562798555081,0.19738216698169708,0.10531831532716751,0.19959093630313873,0.00015076659903966294,231.38689851760864
18,0.11898092641136968,0.019532696126351275,0.810320870177104,0.008670366363814817,0.026463463655314767,0.018774118617651627,0.019301200236301295,0.8101523943818533,0.19733826816082,0.10538025200366974,0.19946831464767456,0.0001454490326986819,269.382648229599
19,0.11886096055834339,0.01950098300137772,0.8104330969544558,0.008656331098889216,0.026283886965113478,0.018648059676678923,0.019253271115191567,0.8102904445849932,0.19725291430950165,0.10540859401226044,0.1992669403553009,0.0001399718325050444,237.74025893211365
20,0.11887475030783277,0.01955888696695463,0.8103710701259282,0.00865977286414888,0.026342964524295753,0.017609791034080374,0.019301881020566306,0.8102024868130684,0.19711652398109436,0.10545826703310013,0.1991909295320511,0.00013435661446561999,237.7885856628418
21,0.11906110102024216,0.01961597376771701,0.8101935906478992,0.00869644050880407,0.026536475121974944,0.018231184832312956,0.01936167736734765,0.8100547815171572,0.19713236391544342,0.1055736392736435,0.1991988867521286,0.0001286255392806612,231.20409297943115
22,0.11854691556296669,0.019461826697135202,0.8108363467913408,0.008647714695857407,0.02621044650261935,0.017508407790983956,0.019217385467177685,0.8107358018939311,0.19710814952850342,0.10560343414545059,0.19909556210041046,0.00012280122488564387,224.1120765209198
23,0.11857755727206286,0.019504327577753708,0.8109287260816648,0.008667501798705556,0.0263137419296142,0.018382455335813574,0.01927167804678902,0.8108041156369906,0.1969677209854126,0.10564707964658737,0.19890734553337097,0.00011690665718860895,226.84343004226685
24,0.11848772230486457,0.01944541157885956,0.8110070862449132,0.008656345571104724,0.026256462736413456,0.018124286078650933,0.01920303064667118,0.8109053093653459,0.19700108468532562,0.10570302605628967,0.19908784329891205,0.0001109650993552848,230.2122197151184
25,0.118215351129094,0.019353927961156633,0.8113369521613304,0.008631690998131838,0.02603886298244246,0.017844292535804784,0.019115247175348207,0.8112484854574387,0.1968396008014679,0.10576410591602325,0.19880077242851257,0.00010500000000000002,217.9598662853241
26,0.11835700157456673,0.019449581838069628,0.8111728563904762,0.008659871941647277,0.026267096196981865,0.017391974684477854,0.019187305171866544,0.8110999177854795,0.19673599302768707,0.1057979092001915,0.1986548751592636,9.903490064471525e-05,233.03223323822021
27,0.11827845432294103,0.01942824338688157,0.8113058472482058,0.008649106128947237,0.026205875326950963,0.017618357966645046,0.019183806823387457,0.8112100737026104,0.196723073720932,0.10578073561191559,0.198579341173172,9.309334281139112e-05,236.2213909626007
28,0.11798455642822843,0.01937960799371537,0.8117077068640636,0.00865155215231845,0.02611465929613377,0.016946545322962966,0.019125568858670214,0.811632835234587,0.1967666745185852,0.10588346421718597,0.19869844615459442,8.719877511435618e-05,281.0711567401886
29,0.11807423367953071,0.019379310939425173,0.8115886578766199,0.008640953414410783,0.0261272136381684,0.017387363638800498,0.01912324268352957,0.8115157229396013,0.19674977660179138,0.10591095685958862,0.19851785898208618,8.13744607193388e-05,314.5053496360779
30,0.11778081328106614,0.019340444238892255,0.8119732223451137,0.008631714377910472,0.02602613860866628,0.01651198204490356,0.019076731805510533,0.8119111689237448,0.19668276607990265,0.10593351721763611,0.19846567511558533,7.564338553438004e-05,255.99085211753845
31,0.11782529140607668,0.019305938366764728,0.8118991314791716,0.008629916096106171,0.02597381417066432,0.016941631234770355,0.019045528893072445,0.8118201782497075,0.19670042395591736,0.1059536561369896,0.19848082959651947,7.002816749495564e-05,247.18691730499268
32,0.11766647682167017,0.019302057679026173,0.8121430116777236,0.008631960974218181,0.025987224688287826,0.016545695219582948,0.019038917924850605,0.8121000625193119,0.19657498598098755,0.10596287995576859,0.19835838675498962,6.455096730131812e-05,272.6105091571808
33,0.11793004848922674,0.019394465859155528,0.8118680046154902,0.008650256041885138,0.026186318881809712,0.017327115722134925,0.019134655149761013,0.811809140157241,0.19661785662174225,0.10601601749658585,0.198359876871109,5.923340096033705e-05,239.7253828048706
34,0.11756792605066528,0.019292489292386632,0.8123325667702235,0.00863659942853981,0.025983300634050886,0.016715921271959533,0.01903869453728056,0.8122774026714839,0.1966255009174347,0.10601501911878586,0.19836285710334778,5.409645447699531e-05,229.039692401886
35,0.11755347546333304,0.01929289717406321,0.8123407824681356,0.008630380807713105,0.025980712201159734,0.016558437924966432,0.01903078473226812,0.8122874868603853,0.19662868976593018,0.10606279224157333,0.1983717530965805,4.916040103221507e-05,260.0829110145569
36,0.11758315679259025,0.01931190873729065,0.8123455491203528,0.008643054260084262,0.026064400910399854,0.016734711833011645,0.019044332867130063,0.8122876193087835,0.19660285115242004,0.10606403648853302,0.19834394752979279,4.444472097387448e-05,270.7139890193939
37,0.11737183985085442,0.019227135193068533,0.8125751154353985,0.008624091118466681,0.02587368169333786,0.016384924839411934,0.018957249068905814,0.8125211668129151,0.19662930071353912,0.10607563704252243,0.19831828773021698,3.996802493677458e-05,268.8889436721802
38,0.11732802646091352,0.019242047557893854,0.8126071736789666,0.008617036622644474,0.02584455698961392,0.015923202174823157,0.018972101852369423,0.8125583487634476,0.19659726321697235,0.10609876364469528,0.1982877254486084,3.574798039496593e-05,235.9055905342102
39,0.11725060110195325,0.019184193847915875,0.812770789861679,0.00860810223250435,0.02583312812494114,0.016589675420590748,0.01891990817653445,0.8127190240873741,0.19661295413970947,0.10609143227338791,0.1983107477426529,3.180124193630004e-05,237.4982831478119
40,0.1173003887757659,0.019240981065489066,0.8126599388626906,0.008622279164130584,0.025874007945486274,0.01582716942469303,0.018964479663946595,0.8126002283623586,0.1966029405593872,0.10609854012727737,0.19830703735351562,2.8143385534380006e-05,234.02175641059875
41,0.11722864880441473,0.019196211309351313,0.8127553857289828,0.008606167973126643,0.0257748727615063,0.01616590189760945,0.018920209513117486,0.8127034013661054,0.19659709930419922,0.10610037297010422,0.19828106462955475,2.4788847077308593e-05,233.41892790794373
42,0.11739818189436427,0.01926575606653037,0.8125885701523378,0.008641610319206778,0.025992567256057204,0.016342982473836924,0.01898330478803613,0.8125312068141424,0.19660329818725586,0.10610728710889816,0.19831198453903198,2.1750865395832963e-05,254.08074617385864
43,0.1172093810298695,0.019213488031751835,0.8128303844768268,0.008620190310130756,0.025868371579473696,0.016095236981233867,0.01893961905197312,0.8127696671738074,0.19661889970302582,0.10610876232385635,0.1983032375574112,1.9041430015728164e-05,310.2683711051941
44,0.11709547275677323,0.01916744036761184,0.8129598523561771,0.008603077102452516,0.025748551561712074,0.016100959203994045,0.018886197005541852,0.8129173126931374,0.19663278758525848,0.10613221675157547,0.19830083847045898,1.6671233840616125e-05,270.2732443809509
45,0.11708150155699024,0.01918905957404954,0.8129428471510227,0.008610311296517745,0.02575605118718858,0.01546187576403519,0.018901943134215587,0.8128958040705094,0.19659854471683502,0.10613533854484558,0.19829249382019043,1.4649630951960416e-05,261.72134017944336
46,0.1170946101944607,0.019189940768186576,0.8129908628761768,0.008626101225113066,0.025836832786444573,0.015865525916272487,0.01890637020741661,0.8129301336522285,0.19663526117801666,0.10615963488817215,0.19832280278205872,1.298459969278006e-05,244.4239776134491
47,0.11703546939847562,0.019172332838822442,0.8130250005767896,0.008608207310317084,0.025765148726685977,0.015536719637636382,0.018879806781366755,0.8129783167288853,0.19663575291633606,0.10613832622766495,0.19831283390522003,1.1682711180774572e-05,271.6306436061859
48,0.11702828884411316,0.019165086794572954,0.8130936855306992,0.008618007416281706,0.02581566233510295,0.015947015734855085,0.01888470880758877,0.813040694880944,0.19663695991039276,0.10614487528800964,0.19831885397434235,1.0749103375124612e-05,252.0483627319336
49,0.11694157090611183,0.01914182123907197,0.8131604149364509,0.008606840931595519,0.02570416160966628,0.015592110778939409,0.018850210054705923,0.8131113297664202,0.1966218501329422,0.10614288598299026,0.19829876720905304,1.0187460799314202e-05,279.26296854019165
50,0.11682016576568667,0.01912459842233847,0.8133856235215298,0.008602461019584623,0.025700677861459555,0.015794254931209322,0.018833445240027058,0.8133302397452868,0.19662266969680786,0.10615415871143341,0.19829465448856354,1e-05,248.5172896385193
