epoch,generator_total,generator_adversarial,generator_l1,discriminator_total,discriminator_real,discriminator_fake,generator_learning_rate,discriminator_learning_rate,epoch_seconds
1,4.787863025183861,1.1505475581551974,0.036373154583494535,0.627362894813548,0.64114446495391,0.6135813252904112,0.0002,0.0002,211.84951066970825
2,4.856585681438446,2.195327599938565,0.02661258069296869,0.56835136535995,0.644795058571946,0.4919076715414681,0.0002,0.0002,195.85826754570007
3,6.192032655729697,3.43666273679835,0.027553699045585325,0.5134527689055876,0.6406524892120483,0.38625304686933165,0.0002,0.0002,206.78035807609558
4,6.826791906356812,4.000753174106089,0.028260387178474608,0.46353975223552457,0.5875696594424378,0.339509843978142,0.0002,0.0002,261.745671749115
5,7.308136728176704,4.505171013969812,0.02802965698781638,0.47664835887347423,0.6416760893675703,0.3116206283171804,0.0002,0.0002,215.8225028514862
6,7.369089595744243,4.603635381566038,0.02765454201815793,0.4681282087438918,0.5918247158159836,0.3444317003301806,0.0002,0.0002,191.46532702445984
7,7.474363577193939,4.719084550765826,0.027552790149079204,0.45935747072939404,0.6403500322589957,0.2783649090996645,0.0002,0.0002,198.42610931396484
8,7.606205287461098,4.8931267579596565,0.027130785207443227,0.4420159317938284,0.6087788813528558,0.2752529816981136,0.0002,0.0002,195.9878113269806
9,7.665505819767714,4.989392249747806,0.026761135555660495,0.4224246300121562,0.5820113444864202,0.2628379137811958,0.0002,0.0002,200.31456398963928
10,7.564881276855102,4.9091402311460115,0.0265574103480993,0.4261740230402718,0.5788463315379222,0.2735017131741415,0.0002,0.0002,204.11608695983887
11,7.607145302456159,4.996663697996812,0.026104815854117846,0.41041074036956193,0.5734055012937415,0.24741597852518785,0.0002,0.0002,195.40861248970032
12,7.5958784059836315,4.965041249340328,0.02630837133082633,0.39387832757396163,0.572183942050743,0.21557271361640548,0.0002,0.0002,204.91608119010925
13,7.87330650882079,5.258506493040365,0.026148000007602746,0.4245323731608271,0.6103039474518042,0.23876079962973643,0.0002,0.0002,207.25200843811035
14,8.071302984425655,5.440874062715179,0.026304289009063862,0.387333968655358,0.5364485310204045,0.23821940733618896,0.0002,0.0002,185.2988395690918
15,8.02615202401693,5.340389794140804,0.026857622134355972,0.39839257895312785,0.5701010352109301,0.2266841223856027,0.0002,0.0002,187.4157361984253
16,7.855677888943599,5.2131604420289825,0.026425174218065176,0.38850919956196933,0.5426105879463567,0.23440781174983227,0.0002,0.0002,202.30878567695618
17,7.820789940769856,5.194175751600414,0.02626614172387725,0.37550769321187105,0.5419289456292842,0.2090864406561801,0.0002,0.0002,207.21285963058472
18,7.884581348758477,5.257559582377927,0.026270217625782466,0.3582821900303814,0.5118693230306149,0.20469505627940784,0.0002,0.0002,246.68049478530884
19,7.874886150428882,5.243559752342005,0.026313263827110998,0.37967162279228084,0.5612986127972557,0.19804463391912727,0.0002,0.0002,199.44214272499084
20,8.010133419472437,5.434326291677112,0.025758071096900564,0.3587257615531305,0.4952349316614201,0.22221659268037727,0.0002,0.0002,204.70297527313232
21,8.093848014221741,5.447239737870852,0.026466082583647223,0.36808177539361875,0.5449915272507357,0.19117202379786616,0.0002,0.0002,205.37370610237122
22,7.905030894164856,5.245199673161103,0.026598311976816218,0.36616635602641956,0.5049153832393979,0.22741732871349776,0.0002,0.0002,229.37780785560608
23,8.163247467692083,5.5116710650116705,0.026515763904899358,0.34952419520456907,0.5239895064753975,0.17505888377081208,0.0002,0.0002,202.86730790138245
24,8.383428652011432,5.736728272582583,0.0264670037279407,0.34344818752179856,0.49902827532781896,0.18786809950444697,0.0002,0.0002,218.02427434921265
25,8.282869601478943,5.649655865353997,0.02633213721609746,0.3600830501331044,0.5119821678915613,0.20818393181842454,0.0002,0.0002,213.7987585067749
26,8.166501928522036,5.555151532520988,0.026113503865109612,0.3331143255068237,0.5033147642362936,0.1629138862342671,0.0002,0.0002,207.80955123901367
27,8.359651018564518,5.75056716768455,0.026090838383131015,0.31549157130846545,0.4597389845598975,0.17124415761393572,0.0002,0.0002,227.23861622810364
28,8.383968950578799,5.730377516075253,0.02653591428310252,0.32824527943744936,0.48394814218064863,0.17254241580195334,0.0002,0.0002,212.93978714942932
29,8.4249528579987,5.7994015089809325,0.02625551334438989,0.2989174700627556,0.4378645089837004,0.1599704308593057,0.0002,0.0002,201.66371154785156
30,8.586100366367743,5.958037099823391,0.026280632517479648,0.32815970849140574,0.4796664974145971,0.17665291928652582,0.0002,0.0002,198.36557173728943
31,8.85569789925447,6.215786207982232,0.02639911673658599,0.32033147231534315,0.4572863967648416,0.18337654896964006,0.0002,0.0002,213.256986618042
32,8.829727689004862,6.179178291644292,0.026505493849086074,0.3453280293610585,0.48988267214502684,0.20077338615304316,0.0002,0.0002,198.24156832695007
33,8.383896195773895,5.739113772393019,0.026447824023377437,0.35369516694712283,0.49470662561843176,0.21268370819188484,0.0002,0.0002,204.85912084579468
34,8.269963937539321,5.692093590746383,0.02577870325991311,0.34018072167606306,0.5062526409481822,0.1741088017327253,0.0002,0.0002,211.26977062225342
35,8.558686810961136,5.961575958042522,0.025971108357099672,0.3356101590538696,0.4933605535602493,0.17785976456885919,0.0002,0.0002,200.62165307998657
36,8.476759433918275,5.859473910588825,0.02617285499940268,0.3373404216699787,0.4941009862216099,0.18057985733870652,0.0002,0.0002,205.467187166214
37,8.213368379038114,5.661011119730448,0.025523572449142544,0.33127996742525717,0.47097777814406183,0.19158215665247574,0.0002,0.0002,205.64702939987183
38,8.391177395788523,5.7895328773579635,0.026016445063018742,0.34042826565843687,0.4952661360413489,0.18559039561328206,0.0002,0.0002,210.33031034469604
39,8.113915621431975,5.560064254023914,0.02553851342527196,0.3240260289342143,0.484668458657192,0.16338359852469356,0.0002,0.0002,209.74872088432312
40,8.367066730329624,5.779394053597935,0.025876726416978413,0.33973372800372686,0.4953149684569705,0.18415248894065187,0.0002,0.0002,204.11804223060608
41,8.225424689512986,5.631479802438228,0.02593944870795195,0.3322198999465041,0.4840322242713328,0.18040757492369328,0.0002,0.0002,206.23558354377747
42,8.484029914094851,5.922655283891184,0.025613746028214406,0.30760165189482025,0.4688342457021711,0.14636905752981996,0.0002,0.0002,223.18075132369995
43,8.37647144553753,5.819682309214169,0.025567891270531197,0.3131397539844421,0.47957841691327185,0.1467010904494563,0.0002,0.0002,204.52410173416138
44,8.187140259891748,5.602451493197049,0.025846887550925693,0.3141887519081739,0.46803880556377647,0.160338697087153,0.0002,0.0002,204.42794108390808
45,8.26824231675038,5.721107826858329,0.025471344736153978,0.3389176161884642,0.5057563372361895,0.17207889470242135,0.0002,0.0002,208.6319239139557
46,8.10826995579096,5.5667394272676365,0.025415305161956125,0.33955349701846643,0.506022616340099,0.1730843766167064,0.0002,0.0002,206.3004937171936
47,7.993502021752871,5.465443087569796,0.025280589200198076,0.3225738430420301,0.48266788405794137,0.1624798021451076,0.0002,0.0002,216.5537621974945
48,8.298369370859403,5.739619611724853,0.025587497397254293,0.3179759703026255,0.4721170883781718,0.1638348521677467,0.0002,0.0002,234.7573366165161
49,8.082085447357251,5.559251397630298,0.025228340375738647,0.31244846994100833,0.471985748056823,0.15291119111911328,0.0002,0.0002,218.60949730873108
50,8.158405612638363,5.62040584119789,0.025379997545566697,0.3112607293443283,0.4694386528443234,0.1530828065097071,0.0002,0.0002,219.36928415298462
